  Year 1  ,  Year 2  ,  Year 3  ,  Year 4  ,  Year 5  
" 203,726.00 "," 279,969.00 "," 465,303.00 "," 200,445.00 "," 96,319.00 "
" 263,845.00 "," 272,439.00 "," 2,192.00 "," 199,901.00 ",  -    
" 27,726.00 "," 334,861.00 "," 82,265.00 "," 199,954.00 "," 64,958.00 "
" 293,801.00 "," 210,117.00 "," 275,087.00 "," 199,934.00 ",  -    
" 297,319.00 "," 242,569.00 "," 464,097.00 "," 200,598.00 "," 141,285.00 "
" 36,012.00 "," 296,235.00 "," 484,943.00 "," 199,842.00 ",  -    
" 78,138.00 "," 308,996.00 "," 491,647.00 "," 199,218.00 "," 127,187.00 "
" 61,767.00 "," 269,747.00 "," 23,989.00 "," 199,771.00 ",  -    
" 346,503.00 "," 172,903.00 "," 41,218.00 "," 200,827.00 "," 80,270.00 "
" 149,681.00 "," 205,417.00 "," 441,224.00 "," 199,658.00 ",  -    
" 123,720.00 "," 167,191.00 "," 460,897.00 "," 200,153.00 ",  -    
" 230,676.00 "," 294,281.00 "," 183,927.00 "," 199,659.00 "," 74,583.00 "
" 136,534.00 "," 289,911.00 "," 499,992.00 "," 199,426.00 "," 91,220.00 "
" 208,694.00 "," 188,425.00 "," 379,420.00 "," 199,493.00 "," 109,404.00 "
" 40,525.00 "," 184,165.00 "," 86,979.00 "," 200,729.00 "," 116,621.00 "
" 304,564.00 "," 207,913.00 "," 419,935.00 "," 199,185.00 "," 74,775.00 "
" 111,033.00 "," 259,445.00 "," 245,250.00 "," 200,098.00 ",  -    
" 215,524.00 "," 324,836.00 "," 406,080.00 "," 200,396.00 "," 44,651.00 "
" 376,338.00 "," 160,573.00 "," 493,157.00 "," 199,816.00 "," 161,056.00 "
  -    ," 279,188.00 "," 492,028.00 "," 199,204.00 "," 206,326.00 "
" 173,405.00 "," 259,445.00 "," 360,912.00 "," 199,843.00 "," 16,534.00 "
" 247,673.00 "," 161,343.00 ", 15.00 ," 200,074.00 "," 274,998.00 "
" 423,913.00 "," 189,747.00 "," 48,857.00 "," 200,125.00 "," 3,060.00 "
" 267,102.00 "," 289,394.00 "," 178,014.00 "," 199,612.00 "," 15,356.00 "
" 233,656.00 "," 284,510.00 "," 4,262.00 "," 199,997.00 ",  -    
" 139,937.00 "," 302,485.00 ", 604.00 ," 199,522.00 "," 186,081.00 "
  -    ," 183,896.00 "," 284,462.00 "," 200,285.00 "," 21,003.00 "
" 209,672.00 "," 168,820.00 "," 196,976.00 "," 200,634.00 "," 136,528.00 "
" 205,091.00 "," 211,923.00 "," 33,005.00 "," 200,369.00 ",  -    
" 58,720.00 "," 291,019.00 "," 154,983.00 "," 199,902.00 ",  -    
" 182,856.00 "," 317,856.00 "," 405,691.00 "," 199,882.00 "," 223,004.00 "
" 451,075.00 "," 157,029.00 "," 111,560.00 "," 200,127.00 ",  -    
" 225,888.00 "," 216,414.00 "," 498,730.00 "," 199,837.00 "," 229,993.00 "
" 184,411.00 "," 211,049.00 "," 96,843.00 "," 200,161.00 "," 26,093.00 "
" 129,992.00 "," 342,211.00 "," 44,907.00 "," 200,251.00 "," 202,278.00 "
  -    ," 262,023.00 "," 21,180.00 "," 200,550.00 "," 145,869.00 "
" 160,270.00 "," 243,724.00 "," 18,924.00 "," 199,940.00 "," 10,185.00 "
